"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.09.2022","11.220,19","11.466,21","11.613,57","11.219,00","909,35M","-1,79%"
"20.09.2022","11.425,05","11.440,14","11.520,99","11.343,72","861,66M","-0,95%"
"19.09.2022","11.535,02","11.338,57","11.538,13","11.337,83","932,68M","0,76%"
"16.09.2022","11.448,40","11.401,21","11.460,43","11.316,92","3,05B","-0,90%"
"15.09.2022","11.552,36","11.633,24","11.760,73","11.497,11","1,03B","-1,43%"
"14.09.2022","11.719,68","11.680,41","11.746,83","11.602,76","1,05B","0,74%"
"13.09.2022","11.633,57","11.908,81","11.957,97","11.604,43","1,10B","-5,16%"
"12.09.2022","12.266,41","12.174,94","12.270,19","12.169,28","845,28M","1,27%"
"09.09.2022","12.112,31","11.958,61","12.132,67","11.958,61","881,47M","2,11%"
"08.09.2022","11.862,13","11.679,86","11.896,73","11.660,53","875,83M","0,60%"
"07.09.2022","11.791,90","11.559,38","11.819,07","11.555,08","897,12M","2,14%"
"06.09.2022","11.544,91","11.643,03","11.679,43","11.471,50","945,53M","-0,74%"
"02.09.2022","11.630,86","11.899,14","11.945,91","11.573,51","868,07M","-1,31%"
"01.09.2022","11.785,13","11.707,44","11.798,37","11.546,52","974,17M","-0,26%"
"31.08.2022","11.816,20","11.972,56","12.027,43","11.814,17","1,16B","-0,56%"
"30.08.2022","11.883,14","12.093,06","12.101,85","11.790,03","896,27M","-1,12%"
"29.08.2022","12.017,67","12.021,05","12.124,87","11.981,42","798,39M","-1,02%"
"26.08.2022","12.141,71","12.630,58","12.655,84","12.141,52","960,49M","-3,94%"
"25.08.2022","12.639,26","12.506,37","12.641,26","12.471,98","797,23M","1,67%"
"24.08.2022","12.431,53","12.375,15","12.504,33","12.350,16","770,64M","0,41%"
"23.08.2022","12.381,30","12.380,37","12.490,86","12.352,03","763,64M","0,00%"
"22.08.2022","12.381,57","12.523,16","12.538,55","12.353,73","857,72M","-2,55%"
"19.08.2022","12.705,21","12.832,27","12.859,01","12.674,87","998,67M","-2,01%"
"18.08.2022","12.965,34","12.937,79","13.002,66","12.873,49","865,17M","0,21%"
"17.08.2022","12.938,12","12.968,63","13.053,51","12.863,01","977,81M","-1,25%"
"16.08.2022","13.102,55","13.082,64","13.181,09","12.979,24","952,79M","-0,19%"
"15.08.2022","13.128,05","12.996,63","13.146,06","12.993,78","862,20M","0,62%"
"12.08.2022","13.047,19","12.866,31","13.047,19","12.821,22","936,39M","2,09%"
"11.08.2022","12.779,91","12.944,82","13.026,24","12.760,09","1,08B","-0,58%"
"10.08.2022","12.854,80","12.793,44","12.861,44","12.698,61","1,05B","2,89%"
"09.08.2022","12.493,93","12.557,49","12.582,91","12.438,86","1,02B","-1,19%"
"08.08.2022","12.644,46","12.703,72","12.855,16","12.597,75","1,00B","-0,10%"
"05.08.2022","12.657,55","12.538,80","12.720,44","12.525,77","991,77M","-0,50%"
"04.08.2022","12.720,58","12.675,04","12.736,19","12.600,78","1,05B","0,41%"
"03.08.2022","12.668,16","12.433,87","12.699,64","12.425,21","1,10B","2,59%"
"02.08.2022","12.348,76","12.287,67","12.503,34","12.260,48","902,82M","-0,16%"
"01.08.2022","12.368,98","12.317,96","12.499,72","12.271,98","891,53M","-0,18%"
"29.07.2022","12.390,69","12.239,69","12.426,26","12.181,13","1,10B","1,88%"
"28.07.2022","12.162,59","12.036,48","12.179,09","11.886,67","958,80M","1,08%"
"27.07.2022","12.032,42","11.756,19","12.081,73","11.718,38","939,31M","4,06%"
"26.07.2022","11.562,58","11.701,53","11.711,31","11.533,37","834,49M","-1,87%"
"25.07.2022","11.782,67","11.837,96","11.855,11","11.707,53","783,12M","-0,43%"
"22.07.2022","11.834,11","12.025,37","12.093,02","11.767,19","884,72M","-1,87%"
"21.07.2022","12.059,61","11.914,15","12.060,59","11.812,72","840,81M","1,36%"
"20.07.2022","11.897,65","11.726,09","11.939,96","11.703,36","1,01B","1,58%"
"19.07.2022","11.713,15","11.515,00","11.721,22","11.448,97","974,15M","3,11%"
"18.07.2022","11.360,05","11.561,64","11.629,03","11.322,84","922,80M","-0,81%"
"15.07.2022","11.452,42","11.379,36","11.454,69","11.295,33","947,43M","1,79%"
"14.07.2022","11.251,18","11.151,21","11.279,97","11.005,93","817,49M","0,03%"
"13.07.2022","11.247,58","11.056,55","11.325,67","11.031,27","812,60M","-0,15%"
"12.07.2022","11.264,73","11.420,89","11.483,17","11.207,08","836,73M","-0,95%"
"11.07.2022","11.372,60","11.524,49","11.541,10","11.348,06","844,13M","-2,26%"
"08.07.2022","11.635,31","11.503,61","11.689,70","11.479,77","820,69M","0,12%"
"07.07.2022","11.621,35","11.422,60","11.644,47","11.412,88","916,26M","2,28%"
"06.07.2022","11.361,85","11.337,90","11.443,15","11.250,32","933,39M","0,35%"
"05.07.2022","11.322,24","10.964,18","11.323,90","10.911,45","1,07B","1,75%"
"01.07.2022","11.127,84","11.006,83","11.132,55","10.922,71","930,71M","0,90%"
"30.06.2022","11.028,74","11.048,25","11.160,92","10.850,01","1,16B","-1,33%"
"29.06.2022","11.177,89","11.160,22","11.226,33","11.072,19","1,02B","-0,03%"
"28.06.2022","11.181,54","11.542,24","11.635,85","11.177,68","1,02B","-2,98%"
"27.06.2022","11.524,55","11.661,02","11.677,49","11.487,07","991,61M","-0,72%"
"24.06.2022","11.607,62","11.351,31","11.613,23","11.337,78","4,31B","3,34%"
"23.06.2022","11.232,19","11.137,68","11.260,27","11.046,28","1,03B","1,62%"
"22.06.2022","11.053,08","10.941,95","11.216,77","10.938,06","1,11B","-0,15%"
"21.06.2022","11.069,30","10.974,05","11.164,99","10.974,05","1,19B","2,51%"
"17.06.2022","10.798,35","10.697,55","10.884,71","10.638,72","2,80B","1,43%"
"16.06.2022","10.646,10","10.806,02","10.831,07","10.565,14","1,25B","-4,08%"
"15.06.2022","11.099,16","10.968,40","11.244,26","10.866,39","1,22B","2,50%"
"14.06.2022","10.828,34","10.897,43","10.926,81","10.733,04","953,68M","0,18%"
"13.06.2022","10.809,23","10.986,84","11.071,48","10.775,14","1,21B","-4,68%"
"10.06.2022","11.340,02","11.543,88","11.569,15","11.328,27","1,06B","-3,52%"
"09.06.2022","11.754,23","12.016,47","12.115,07","11.751,98","998,87M","-2,75%"
"08.06.2022","12.086,27","12.147,28","12.235,78","12.052,70","911,77M","-0,73%"
"07.06.2022","12.175,23","11.925,81","12.194,86","11.888,61","900,55M","0,94%"
"06.06.2022","12.061,37","12.200,33","12.245,40","12.004,20","911,01M","0,40%"
"03.06.2022","12.012,73","12.097,12","12.167,44","11.966,62","837,59M","-2,47%"
"02.06.2022","12.316,90","11.945,57","12.320,12","11.901,45","916,66M","2,69%"
"01.06.2022","11.994,46","12.176,89","12.237,93","11.901,43","940,60M","-0,72%"
"31.05.2022","12.081,39","12.137,54","12.190,08","11.942,50","1,77B","-0,41%"
"27.05.2022","12.131,13","11.869,69","12.131,66","11.856,82","942,22M","3,33%"
"26.05.2022","11.740,65","11.409,84","11.796,97","11.406,16","930,42M","2,68%"
"25.05.2022","11.434,74","11.225,03","11.511,90","11.211,85","907,18M","1,51%"
"24.05.2022","11.264,45","11.326,44","11.351,61","11.092,48","924,23M","-2,35%"
"23.05.2022","11.535,27","11.396,28","11.552,07","11.304,56","889,21M","1,59%"
"20.05.2022","11.354,62","11.542,67","11.552,21","11.035,69","1,20B","-0,30%"
"19.05.2022","11.388,50","11.364,40","11.562,82","11.313,31","1,05B","-0,26%"
"18.05.2022","11.418,15","11.790,68","11.826,22","11.381,69","1,03B","-4,73%"
"17.05.2022","11.984,52","11.905,57","11.988,43","11.754,28","1,02B","2,76%"
"16.05.2022","11.662,79","11.727,14","11.804,59","11.627,53","978,06M","-1,20%"
"13.05.2022","11.805,00","11.555,98","11.856,71","11.510,25","1,23B","3,82%"
"12.05.2022","11.370,96","11.199,25","11.547,33","11.108,76","1,40B","0,06%"
"11.05.2022","11.364,24","11.645,57","11.844,50","11.339,18","1,27B","-3,18%"
"10.05.2022","11.737,67","11.900,34","11.944,94","11.566,28","1,28B","0,98%"
"09.05.2022","11.623,25","11.923,03","11.990,61","11.574,94","1,24B","-4,29%"
"06.05.2022","12.144,66","12.246,83","12.358,42","11.990,15","1,09B","-1,40%"
"05.05.2022","12.317,69","12.787,52","12.787,52","12.183,56","1,10B","-4,99%"
"04.05.2022","12.964,86","12.574,73","12.985,01","12.367,02","1,11B","3,19%"
"03.05.2022","12.563,76","12.511,46","12.645,83","12.460,99","897,83M","0,22%"
"02.05.2022","12.536,02","12.331,69","12.542,54","12.202,41","1,04B","1,63%"
"29.04.2022","12.334,64","12.710,42","12.861,83","12.315,74","1,09B","-4,17%"
"28.04.2022","12.871,53","12.712,86","12.948,52","12.487,86","1,01B","3,06%"
"27.04.2022","12.488,93","12.500,88","12.703,79","12.430,90","942,84M","-0,01%"
"26.04.2022","12.490,74","12.918,04","12.918,04","12.490,74","1,02B","-3,95%"
"25.04.2022","13.004,85","12.749,17","13.011,45","12.722,59","988,04M","1,29%"
"22.04.2022","12.839,29","13.168,80","13.212,60","12.828,02","950,70M","-2,55%"
"21.04.2022","13.174,65","13.623,70","13.710,69","13.140,83","993,83M","-2,07%"
"20.04.2022","13.453,07","13.665,38","13.678,55","13.426,12","871,26M","-1,22%"
"19.04.2022","13.619,66","13.312,44","13.643,97","13.281,22","855,29M","2,15%"
"18.04.2022","13.332,36","13.319,39","13.414,27","13.222,03","832,41M","-0,14%"
"14.04.2022","13.351,08","13.647,42","13.662,93","13.345,22","927,38M","-2,14%"
"13.04.2022","13.643,59","13.373,12","13.679,43","13.353,66","910,79M","2,03%"
"12.04.2022","13.371,57","13.584,69","13.685,95","13.317,74","902,42M","-0,30%"
"11.04.2022","13.411,96","13.547,29","13.585,08","13.401,39","991,30M","-2,18%"
"08.04.2022","13.711,00","13.830,47","13.866,06","13.693,69","858,45M","-1,34%"
"07.04.2022","13.897,30","13.861,49","13.978,25","13.689,23","931,35M","0,06%"
"06.04.2022","13.888,82","14.002,58","14.032,84","13.788,90","1,09B","-2,22%"
"05.04.2022","14.204,17","14.490,26","14.500,29","14.169,12","930,40M","-2,26%"
"04.04.2022","14.532,55","14.304,35","14.534,38","14.286,45","915,41M","1,90%"
"01.04.2022","14.261,50","14.269,53","14.306,94","14.131,81","1,02B","0,29%"
"31.03.2022","14.220,52","14.444,78","14.456,74","14.217,73","1,10B","-1,54%"
"30.03.2022","14.442,27","14.558,59","14.609,25","14.383,45","1,01B","-1,21%"
"29.03.2022","14.619,64","14.500,39","14.646,90","14.419,40","1,09B","1,84%"
"28.03.2022","14.354,90","14.177,21","14.356,00","14.101,34","892,94M","1,31%"
"25.03.2022","14.169,30","14.194,72","14.218,76","14.010,79","941,78M","-0,16%"
"24.03.2022","14.191,84","14.001,32","14.193,55","13.897,20","916,74M","1,93%"
"23.03.2022","13.922,60","13.990,35","14.152,14","13.921,65","961,73M","-1,32%"
"22.03.2022","14.108,82","13.866,43","14.141,07","13.857,29","1,10B","1,95%"
"21.03.2022","13.838,46","13.860,39","13.945,81","13.682,55","1,14B","-0,40%"
"18.03.2022","13.893,84","13.564,63","13.899,28","13.528,06","2,85B","2,05%"
"17.03.2022","13.614,78","13.360,72","13.620,80","13.317,14","1,14B","1,33%"
"16.03.2022","13.436,55","13.119,36","13.440,12","12.992,20","1,41B","3,77%"
"15.03.2022","12.948,62","12.685,23","12.973,88","12.616,59","1,13B","2,92%"
"14.03.2022","12.581,22","12.795,12","12.918,01","12.555,35","1,21B","-2,04%"
"11.03.2022","12.843,81","13.229,77","13.239,35","12.830,37","1,02B","-2,18%"
"10.03.2022","13.129,96","13.098,35","13.163,50","12.946,28","961,59M","-0,95%"
"09.03.2022","13.255,55","13.113,70","13.301,16","13.039,79","1,12B","3,59%"
"08.03.2022","12.795,55","12.800,04","13.159,44","12.670,08","1,34B","-0,28%"
"07.03.2022","12.830,96","13.328,36","13.353,28","12.828,02","1,29B","-3,62%"
"04.03.2022","13.313,44","13.455,23","13.486,71","13.224,98","1,04B","-1,66%"
"03.03.2022","13.537,94","13.837,59","13.837,59","13.472,64","1,03B","-1,56%"
"02.03.2022","13.752,02","13.597,53","13.796,55","13.493,91","1,03B","1,62%"
"01.03.2022","13.532,46","13.716,70","13.777,04","13.441,32","1,24B","-1,59%"
"28.02.2022","13.751,40","13.570,83","13.810,64","13.549,90","1,39B","0,41%"
"25.02.2022","13.694,62","13.485,26","13.696,86","13.358,29","978,45M","1,64%"
"24.02.2022","13.473,58","12.587,88","13.486,11","12.587,88","1,38B","3,34%"
"23.02.2022","13.037,49","13.511,75","13.533,78","13.032,17","944,40M","-2,57%"
"22.02.2022","13.381,52","13.424,36","13.618,72","13.249,65","1,02B","-1,23%"
"18.02.2022","13.548,07","13.735,40","13.762,40","13.465,56","1,02B","-1,23%"
"17.02.2022","13.716,72","14.004,19","14.020,82","13.704,70","922,82M","-2,88%"
"16.02.2022","14.124,09","14.038,92","14.163,73","13.931,99","838,99M","-0,11%"
"15.02.2022","14.139,76","13.997,18","14.142,49","13.976,29","903,09M","2,53%"
"14.02.2022","13.790,92","13.768,97","13.921,71","13.664,76","936,80M","0,00%"
"11.02.2022","13.791,15","14.213,62","14.246,70","13.733,16","1,08B","-2,78%"
"10.02.2022","14.185,64","14.228,68","14.509,56","14.118,20","1,06B","-2,10%"
"09.02.2022","14.490,37","14.368,16","14.490,72","14.330,87","935,01M","2,08%"
"08.02.2022","14.194,45","13.984,43","14.226,48","13.934,78","865,50M","1,28%"
"07.02.2022","14.015,67","14.118,79","14.236,31","13.974,10","858,02M","-0,58%"
"04.02.2022","14.098,01","13.958,48","14.222,76","13.850,39","862,97M","1,58%"
"03.02.2022","13.878,82","14.045,83","14.207,89","13.851,75","945,51M","-3,74%"
"02.02.2022","14.417,55","14.494,47","14.504,82","14.264,65","1,00B","0,50%"
"01.02.2022","14.346,00","14.277,43","14.358,69","14.070,77","962,00M","0,75%"
"31.01.2022","14.239,88","13.812,19","14.242,90","13.767,71","1,24B","3,41%"
"28.01.2022","13.770,57","13.436,71","13.771,91","13.236,56","1,06B","3,13%"
"27.01.2022","13.352,78","13.710,99","13.765,91","13.322,66","1,07B","-1,40%"
"26.01.2022","13.542,12","13.871,77","14.002,65","13.392,19","1,18B","0,02%"
"25.01.2022","13.539,30","13.610,87","13.781,62","13.414,14","1,04B","-2,28%"
"24.01.2022","13.855,13","13.481,50","13.876,61","13.094,65","1,55B","0,63%"
"21.01.2022","13.768,92","14.046,22","14.171,72","13.764,24","1,32B","-2,72%"
"20.01.2022","14.154,02","14.462,85","14.642,03","14.140,78","1,02B","-1,30%"
"19.01.2022","14.340,25","14.582,22","14.658,89","14.331,65","935,06M","-1,15%"
"18.01.2022","14.506,90","14.681,83","14.740,54","14.482,94","1,06B","-2,60%"
"14.01.2022","14.893,75","14.708,02","14.897,67","14.689,43","872,56M","0,59%"
"13.01.2022","14.806,81","15.245,04","15.259,71","14.782,24","852,15M","-2,51%"
"12.01.2022","15.188,39","15.263,10","15.319,03","15.117,29","840,02M","0,23%"
"11.01.2022","15.153,45","14.919,26","15.158,71","14.837,64","863,02M","1,41%"
"10.01.2022","14.942,83","14.751,78","14.953,85","14.530,23","1,09B","0,05%"
"07.01.2022","14.935,90","15.095,72","15.171,02","14.877,63","852,53M","-0,96%"
"06.01.2022","15.080,86","15.024,15","15.198,45","14.914,87","951,12M","-0,13%"
"05.01.2022","15.100,17","15.547,16","15.586,30","15.095,18","1,01B","-3,34%"
"04.01.2022","15.622,72","15.852,14","15.852,14","15.512,41","970,70M","-1,33%"
"03.01.2022","15.832,80","15.732,50","15.832,80","15.644,09","871,65M","1,20%"
"31.12.2021","15.644,97","15.722,91","15.777,43","15.643,93","729,41M","-0,61%"
"30.12.2021","15.741,56","15.758,98","15.868,09","15.729,16","768,18M","-0,16%"
"29.12.2021","15.766,22","15.794,92","15.821,81","15.679,85","699,59M","-0,10%"
"28.12.2021","15.781,72","15.895,20","15.901,47","15.757,07","691,47M","-0,56%"
"27.12.2021","15.871,26","15.696,83","15.871,40","15.696,83","741,10M","1,39%"
"23.12.2021","15.653,37","15.544,79","15.697,98","15.528,91","746,13M","0,85%"
"22.12.2021","15.521,89","15.319,16","15.525,97","15.303,06","783,47M","1,18%"
"21.12.2021","15.341,09","15.140,43","15.349,06","15.015,02","976,83M","2,40%"
"20.12.2021","14.980,94","14.933,00","15.007,30","14.860,04","1,02B","-1,24%"
"17.12.2021","15.169,68","15.036,77","15.288,78","14.960,37","3,01B","-0,07%"
"16.12.2021","15.180,43","15.629,08","15.633,19","15.119,49","1,10B","-2,47%"
"15.12.2021","15.565,58","15.230,71","15.575,76","15.055,23","1,17B","2,15%"
"14.12.2021","15.237,64","15.215,96","15.317,55","15.097,35","1,03B","-1,14%"
"13.12.2021","15.413,28","15.621,27","15.637,06","15.408,25","996,25M","-1,39%"
"10.12.2021","15.630,60","15.629,59","15.677,60","15.477,85","875,08M","0,73%"
"09.12.2021","15.517,37","15.720,54","15.796,05","15.511,12","869,50M","-1,71%"
"08.12.2021","15.786,99","15.690,65","15.792,64","15.618,88","921,93M","0,64%"
"07.12.2021","15.686,92","15.510,91","15.720,09","15.507,66","1,06B","3,03%"
"06.12.2021","15.225,15","15.117,63","15.281,99","14.931,61","1,07B","0,93%"
"03.12.2021","15.085,47","15.428,71","15.470,36","14.931,06","1,20B","-1,92%"
"02.12.2021","15.381,32","15.181,82","15.444,54","15.150,12","1,10B","0,83%"
"01.12.2021","15.254,05","15.752,27","15.816,82","15.243,93","1,22B","-1,83%"
"30.11.2021","15.537,69","15.716,50","15.828,20","15.451,39","1,78B","-1,55%"
"29.11.2021","15.782,83","15.719,42","15.833,11","15.644,61","1,01B","1,88%"
"26.11.2021","15.491,66","15.664,38","15.731,54","15.456,09","781,49M","-2,23%"
"24.11.2021","15.845,23","15.677,88","15.848,56","15.591,36","842,33M","0,44%"
"23.11.2021","15.775,14","15.809,50","15.895,86","15.601,46","1,07B","-0,50%"
"22.11.2021","15.854,76","16.120,92","16.212,23","15.851,04","1,13B","-1,26%"
"19.11.2021","16.057,44","16.042,16","16.121,12","16.017,23","1,02B","0,40%"
"18.11.2021","15.993,71","15.973,40","16.010,88","15.848,83","1,08B","0,45%"
"17.11.2021","15.921,57","15.973,61","15.998,57","15.909,39","966,81M","-0,33%"
"16.11.2021","15.973,85","15.840,32","15.989,61","15.825,00","1,01B","0,76%"
"15.11.2021","15.853,85","15.894,82","15.918,45","15.778,31","952,14M","-0,04%"
"12.11.2021","15.860,96","15.752,62","15.874,58","15.705,38","988,93M","1,00%"
"11.11.2021","15.704,28","15.752,08","15.768,03","15.695,77","867,11M","0,52%"
"10.11.2021","15.622,70","15.753,84","15.867,24","15.543,68","989,63M","-1,66%"
"09.11.2021","15.886,54","16.024,13","16.035,21","15.836,68","1,03B","-0,60%"
"08.11.2021","15.982,36","15.995,72","16.038,23","15.961,81","1,06B","0,07%"
"05.11.2021","15.971,59","16.003,56","16.053,39","15.900,78","1,06B","0,20%"
"04.11.2021","15.940,31","15.849,74","15.966,09","15.827,66","1,02B","0,81%"
"03.11.2021","15.811,58","15.658,52","15.821,58","15.616,44","1,00B","1,04%"
"02.11.2021","15.649,60","15.583,99","15.656,60","15.569,27","997,88M","0,34%"
"01.11.2021","15.595,92","15.541,26","15.598,95","15.470,82","1,00B","0,63%"
"29.10.2021","15.498,39","15.323,29","15.504,12","15.323,29","1,06B","0,33%"
"28.10.2021","15.448,12","15.304,74","15.452,30","15.290,31","1,06B","1,39%"
"27.10.2021","15.235,84","15.276,00","15.364,54","15.235,84","1,09B","0,00%"
"26.10.2021","15.235,72","15.317,50","15.384,00","15.198,23","1,22B","0,06%"
"25.10.2021","15.226,71","15.142,92","15.259,63","15.070,75","1,09B","0,90%"
"22.10.2021","15.090,20","15.158,07","15.193,01","15.021,02","1,10B","-0,82%"
"21.10.2021","15.215,70","15.104,80","15.222,25","15.094,14","891,24M","0,62%"
"20.10.2021","15.121,68","15.160,00","15.178,39","15.071,15","743,43M","-0,05%"
"19.10.2021","15.129,09","15.073,13","15.137,85","15.049,73","788,58M","0,71%"
"18.10.2021","15.021,81","14.839,74","15.026,68","14.833,28","798,36M","0,84%"
"15.10.2021","14.897,34","14.891,24","14.904,98","14.847,97","924,17M","0,50%"
"14.10.2021","14.823,43","14.717,50","14.827,56","14.699,52","815,46M","1,73%"
"13.10.2021","14.571,64","14.537,17","14.589,28","14.471,88","760,21M","0,73%"
"12.10.2021","14.465,92","14.539,09","14.552,71","14.441,60","768,40M","-0,14%"
"11.10.2021","14.486,20","14.540,08","14.665,99","14.482,61","664,49M","-0,64%"
"08.10.2021","14.579,54","14.694,72","14.699,91","14.569,68","670,94M","-0,51%"
"07.10.2021","14.654,02","14.631,80","14.755,72","14.615,14","798,16M","1,05%"
"06.10.2021","14.501,91","14.289,45","14.509,55","14.259,07","817,53M","0,47%"
"05.10.2021","14.433,83","14.312,86","14.508,65","14.299,78","805,23M","1,25%"
"04.10.2021","14.255,49","14.493,12","14.499,74","14.181,69","920,43M","-2,14%"
"01.10.2021","14.566,70","14.494,93","14.606,82","14.324,01","913,08M","0,82%"
"30.09.2021","14.448,58","14.582,60","14.632,36","14.444,30","1,14B","-0,44%"
"29.09.2021","14.512,44","14.614,88","14.676,62","14.493,67","980,97M","-0,24%"
"28.09.2021","14.546,68","14.787,21","14.817,74","14.539,88","996,26M","-2,83%"
"27.09.2021","14.969,97","14.954,17","15.003,16","14.864,96","894,61M","-0,52%"
"24.09.2021","15.047,70","14.961,61","15.067,56","14.946,57","773,44M","-0,03%"
"23.09.2021","15.052,24","14.960,00","15.085,44","14.932,51","788,23M","1,04%"
"22.09.2021","14.896,85","14.800,59","14.950,12","14.767,01","831,12M","1,02%"
"21.09.2021","14.746,40","14.803,36","14.847,03","14.696,47","873,64M","0,22%"
"20.09.2021","14.713,90","14.758,14","14.841,82","14.530,07","1,10B","-2,19%"
"17.09.2021","15.043,97","15.163,35","15.166,56","14.998,73","2,75B","-0,91%"
"16.09.2021","15.181,92","15.120,09","15.205,50","15.047,14","833,07M","0,13%"
"15.09.2021","15.161,53","15.071,34","15.174,38","14.984,68","987,75M","0,82%"
"14.09.2021","15.037,76","15.168,45","15.181,19","15.008,30","884,51M","-0,45%"
"13.09.2021","15.105,58","15.211,43","15.215,44","15.030,85","943,77M","-0,07%"
"10.09.2021","15.115,49","15.332,92","15.349,47","15.111,31","889,08M","-0,87%"
"09.09.2021","15.248,25","15.296,06","15.352,38","15.245,17","793,92M","-0,25%"
"08.09.2021","15.286,64","15.360,35","15.360,35","15.206,61","799,13M","-0,57%"
"07.09.2021","15.374,33","15.375,98","15.403,44","15.343,28","813,76M","0,07%"
"03.09.2021","15.363,52","15.313,42","15.375,56","15.283,67","713,30M","0,21%"
"02.09.2021","15.331,18","15.358,47","15.380,07","15.285,35","771,82M","0,14%"
"01.09.2021","15.309,38","15.308,98","15.379,50","15.302,11","836,30M","0,33%"
"31.08.2021","15.259,24","15.262,88","15.278,96","15.202,67","981,94M","-0,04%"
"30.08.2021","15.265,89","15.165,94","15.288,08","15.165,12","807,58M","0,90%"
"27.08.2021","15.129,50","14.969,76","15.144,48","14.966,52","857,20M","1,23%"
"26.08.2021","14.945,81","15.025,17","15.059,63","14.939,56","698,67M","-0,64%"
"25.08.2021","15.041,86","15.039,03","15.059,43","15.011,58","760,11M","0,15%"
"24.08.2021","15.019,80","14.978,14","15.034,89","14.965,54","737,23M","0,52%"
"23.08.2021","14.942,65","14.776,98","14.963,47","14.776,98","782,67M","1,55%"
"20.08.2021","14.714,66","14.571,53","14.722,16","14.571,53","828,73M","1,19%"
"19.08.2021","14.541,79","14.423,16","14.610,76","14.423,16","841,84M","0,11%"
"18.08.2021","14.525,91","14.636,24","14.697,25","14.516,30","764,92M","-0,89%"
"17.08.2021","14.656,18","14.670,56","14.716,95","14.550,88","797,61M","-0,93%"
"16.08.2021","14.793,76","14.771,53","14.794,68","14.610,02","774,04M","-0,20%"
"13.08.2021","14.822,90","14.825,07","14.850,61","14.797,22","774,68M","0,04%"
"12.08.2021","14.816,26","14.751,36","14.824,31","14.698,94","783,88M","0,35%"
"11.08.2021","14.765,14","14.834,38","14.842,50","14.692,41","787,41M","-0,16%"
"10.08.2021","14.788,09","14.887,75","14.894,61","14.754,48","781,07M","-0,49%"
"09.08.2021","14.860,18","14.855,75","14.883,81","14.802,69","801,12M","0,16%"
"06.08.2021","14.835,76","14.864,22","14.890,18","14.788,59","817,60M","-0,40%"
"05.08.2021","14.895,12","14.794,08","14.896,48","14.776,03","842,72M","0,78%"
"04.08.2021","14.780,53","14.747,21","14.812,37","14.734,12","875,56M","0,13%"
"03.08.2021","14.761,30","14.714,00","14.762,60","14.584,09","831,95M","0,55%"
"02.08.2021","14.681,07","14.758,60","14.770,41","14.665,67","752,76M","0,06%"
"30.07.2021","14.672,68","14.615,85","14.728,78","14.615,85","788,21M","-0,71%"
"29.07.2021","14.778,26","14.771,17","14.833,74","14.761,38","760,01M","0,11%"
"28.07.2021","14.762,58","14.715,66","14.798,88","14.645,63","839,14M","0,70%"
"27.07.2021","14.660,58","14.807,95","14.811,08","14.503,76","885,24M","-1,21%"
"26.07.2021","14.840,71","14.821,03","14.863,65","14.790,49","850,81M","0,03%"
"23.07.2021","14.836,99","14.753,06","14.846,06","14.698,77","758,41M","1,04%"
"22.07.2021","14.684,60","14.652,72","14.694,19","14.617,87","712,06M","0,36%"
"21.07.2021","14.631,95","14.508,75","14.633,15","14.498,65","801,83M","0,92%"
"20.07.2021","14.498,88","14.330,46","14.555,75","14.271,23","1,03B","1,57%"
"19.07.2021","14.274,98","14.235,98","14.313,60","14.178,66","916,44M","-1,06%"
"16.07.2021","14.427,24","14.597,51","14.623,02","14.413,32","811,42M","-0,80%"
"15.07.2021","14.543,13","14.635,78","14.650,38","14.451,80","832,92M","-0,70%"
"14.07.2021","14.644,95","14.780,90","14.790,55","14.632,95","862,70M","-0,22%"
"13.07.2021","14.677,65","14.715,13","14.803,68","14.660,19","805,39M","-0,38%"
"12.07.2021","14.733,24","14.743,86","14.761,08","14.672,63","753,86M","0,21%"
"09.07.2021","14.701,92","14.578,43","14.710,20","14.552,26","756,93M","0,98%"
"08.07.2021","14.559,78","14.409,20","14.610,06","14.371,59","920,12M","-0,72%"
"07.07.2021","14.665,06","14.753,42","14.755,33","14.580,79","889,86M","0,01%"
"06.07.2021","14.663,64","14.661,55","14.687,00","14.529,80","909,25M","0,17%"
"02.07.2021","14.639,33","14.582,98","14.649,11","14.555,33","724,36M","0,81%"
"01.07.2021","14.522,38","14.493,69","14.533,55","14.439,40","843,43M","0,13%"
"30.06.2021","14.503,95","14.509,85","14.526,81","14.478,06","1,08B","-0,17%"
"29.06.2021","14.528,33","14.509,19","14.535,97","14.471,38","908,40M","0,19%"
"28.06.2021","14.500,51","14.417,81","14.505,19","14.417,20","898,05M","0,98%"
"25.06.2021","14.360,39","14.400,81","14.409,08","14.337,65","3,12B","-0,06%"
"24.06.2021","14.369,71","14.357,26","14.414,46","14.333,70","807,04M","0,69%"
"23.06.2021","14.271,73","14.263,38","14.317,66","14.246,30","852,78M","0,13%"
"22.06.2021","14.253,27","14.138,29","14.269,77","14.121,00","891,23M","0,79%"
"21.06.2021","14.141,48","14.047,42","14.150,78","13.960,04","969,70M","0,79%"
"18.06.2021","14.030,38","14.096,93","14.129,22","14.009,03","2,14B","-0,92%"
"17.06.2021","14.161,35","13.999,13","14.196,21","13.998,93","990,64M","0,87%"
"16.06.2021","14.039,68","14.085,55","14.129,69","13.903,73","981,27M","-0,24%"
"15.06.2021","14.072,86","14.166,64","14.171,02","14.052,16","880,03M","-0,71%"
